accession_number,accession_version,title,create_date,update_date,organism,country,lat,lon,collection_date
HQ964393.1,HQ964393.1,"Spodoptera frugiperda voucher BIOUG<CAN>:10MA-0047 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.6305,-70.556,29-Sep-2010
HQ964353.1,HQ964353.1,"Spodoptera frugiperda voucher BIOUG<CAN>:10MA-0003 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.6144,-70.5403,29-Sep-2010
HQ964352.1,HQ964352.1,"Spodoptera frugiperda voucher BIOUG<CAN>:10MA-0002 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.6144,-70.5403,29-Sep-2010
HQ964351.1,HQ964351.1,"Spodoptera frugiperda voucher BIOUG<CAN>:10MA-0001 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.6144,-70.5403,29-Sep-2010
GU159435.1,GU159435.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-04-03,2012-05-01,fall armyworm,"Costa Rica: Guanacaste, Area de Conservacion Guanacaste, La Garita",10.430870800000001,-85.36599593077125,06-Jul-2005
GU159434.1,GU159434.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-04-03,2012-05-01,fall armyworm,"Costa Rica: Guanacaste, Area de Conservacion Guanacaste, Sector Santa Rosa, Primer Corta Fuego, Casetilla",9.0931111,-71.0518447,27-Jun-2005
GU159433.1,GU159433.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-04-03,2012-05-01,fall armyworm,"Costa Rica: Guanacaste, Area de Conservacion Guanacaste, Sector Santa Rosa, Primer Corta Fuego, Casetilla",9.0931111,-71.0518447,27-Jun-2005
GU159432.1,GU159432.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-04-03,2012-05-01,fall armyworm,"Costa Rica: Guanacaste, Area de Conservacion Guanacaste, Sector Santa Rosa, Primer Corta Fuego, Casetilla",9.0931111,-71.0518447,29-Jun-2005
GU159431.1,GU159431.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-04-03,2012-05-01,fall armyworm,"Costa Rica: Guanacaste, Area de Conservacion Guanacaste, Sector Santa Rosa, Primer Corta Fuego, Casetilla",9.0931111,-71.0518447,27-Jun-2005
GU159430.1,GU159430.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-04-03,2012-05-01,fall armyworm,"Costa Rica: Guanacaste, Area de Conservacion Guanacaste, Sector Santa Rosa, Primer Corta Fuego, Casetilla",9.0931111,-71.0518447,28-Jun-2005
GU159429.1,GU159429.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-04-03,2012-05-01,fall armyworm,"Costa Rica: Guanacaste, Area de Conservacion Guanacaste, Sector Santa Rosa, Primer Corta Fuego, Casetilla",9.0931111,-71.0518447,28-Jun-2005
GU159428.1,GU159428.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-04-03,2012-05-01,fall armyworm,"Costa Rica: Guanacaste, Area de Conservacion Guanacaste, Sector Santa Rosa, Primer Corta Fuego, Casetilla",9.0931111,-71.0518447,27-Jun-2005
GU159427.1,GU159427.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-04-03,2012-05-01,fall armyworm,"Costa Rica: Guanacaste, Area de Conservacion Guanacaste, Sector Santa Rosa, Primer Corta Fuego, Casetilla",9.0931111,-71.0518447,29-Jun-2005
GU159426.1,GU159426.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-04-03,2012-05-01,fall armyworm,"Costa Rica: Guanacaste, Area de Conservacion Guanacaste, Sector Santa Rosa, Primer Corta Fuego, Casetilla",9.0931111,-71.0518447,27-Jun-2005
GU163698.1,GU163698.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-03-30,2012-05-01,fall armyworm,"Costa Rica: Guanacaste, Area de Conservacion Guanacaste; Sector Santa Rosa; Primer Corta Fuego, Casetilla",10.430870800000001,-85.36599593077125,01-Jul-2005
HM136602.1,HM136602.1,"Spodoptera frugiperda haplotype RS10 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136601.1,HM136601.1,"Spodoptera frugiperda haplotype RS9 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136600.1,HM136600.1,"Spodoptera frugiperda haplotype RS8 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136599.1,HM136599.1,"Spodoptera frugiperda haplotype RS7 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136598.1,HM136598.1,"Spodoptera frugiperda haplotype RS6 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136597.1,HM136597.1,"Spodoptera frugiperda haplotype RS5 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136596.1,HM136596.1,"Spodoptera frugiperda haplotype RS4 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136595.1,HM136595.1,"Spodoptera frugiperda haplotype RS3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136594.1,HM136594.1,"Spodoptera frugiperda haplotype RS2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136593.1,HM136593.1,"Spodoptera frugiperda haplotype RS1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136592.1,HM136592.1,"Spodoptera frugiperda haplotype CS7 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136591.1,HM136591.1,"Spodoptera frugiperda haplotype CS6 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136590.1,HM136590.1,"Spodoptera frugiperda haplotype CS5 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136589.1,HM136589.1,"Spodoptera frugiperda haplotype CS4 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136588.1,HM136588.1,"Spodoptera frugiperda haplotype CS3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136587.1,HM136587.1,"Spodoptera frugiperda haplotype CS2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM136586.1,HM136586.1,"Spodoptera frugiperda haplotype CS1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2010-07-04,2012-02-29,fall armyworm,USA,39.7837304,-100.4458825,NA
HM388081.1,HM388081.1,"Spodoptera sp. frugiperda 1 BOLD-2018 voucher BIOUG<CAN>:MDOK-3694 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-07-06,2019-04-18,Spodoptera sp. frugiperda 1 BOLD-2018,USA,36.74,-95.95,21-Oct-2009
GU799699.1,GU799699.1,"Spodoptera sp. frugiperda 1 BOLD-2018 voucher BIOUG<CAN>:MDOK-1519 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-06-29,2019-04-17,Spodoptera sp. frugiperda 1 BOLD-2018,USA,36.74,-95.95,31-Oct-2008
MG360803.1,MG360803.1,"Spodoptera aff. frugiperda 1 BOLD-2017 voucher BIOUG31061-G04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2018-10-22,2018-10-22,Spodoptera aff. frugiperda 1 BOLD-2017,"Canada: Ontario, London, Westminster Central Public School, EQP-CLL-596",42.9028,-81.1972,30-Sep-2016
GU658451.1,GU658451.1,"Spodoptera sp. frugiperda 2 BOLD-2018 voucher MAL-03834 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-06-23,2019-04-18,Spodoptera sp. frugiperda 2 BOLD-2018,Mexico,18.298,-88.645,01-Feb-2009
JF857952.1,JF857952.1,"Spodoptera sp. frugiperda 2 BOLD-2018 voucher MAL-05479 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-05-03,2019-04-19,Spodoptera sp. frugiperda 2 BOLD-2018,Mexico,20.089,-89.55,19-Oct-2009
JF855010.1,JF855010.1,"Spodoptera sp. frugiperda 2 BOLD-2018 voucher BGS04086 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-05-03,2019-04-19,Spodoptera sp. frugiperda 2 BOLD-2018,USA,35.586,-83.073,12-Aug-2006
HM406395.1,HM406395.1,"Spodoptera sp. frugiperda 2 BOLD-2018 voucher BIOUG<CAN>:CMAZ-0278 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-07-14,2019-04-18,Spodoptera sp. frugiperda 2 BOLD-2018,USA,31.4271,-110.401,07-Nov-2009
GU669423.1,GU669423.1,"Spodoptera sp. frugiperda 2 BOLD-2018 voucher 09-JDWGEO-074 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-06-23,2019-04-22,Spodoptera sp. frugiperda 2 BOLD-2018,USA,39,-76.93,NA
HM406394.1,HM406394.1,"Spodoptera sp. frugiperda 2 BOLD-2018 voucher BIOUG<CAN>:CMAZ-0277 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-07-14,2019-04-18,Spodoptera sp. frugiperda 2 BOLD-2018,USA,31.4271,-110.401,07-Nov-2009
JF855008.1,JF855008.1,"Spodoptera sp. frugiperda 2 BOLD-2018 voucher BGS04084 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-05-03,2019-04-19,Spodoptera sp. frugiperda 2 BOLD-2018,USA,35.557,-83.496,13-Aug-2006
HM430360.1,HM430360.1,"Spodoptera sp. frugiperda 2 BOLD-2018 voucher BIOUG<CAN>:CMAZ-0061 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-08-24,2019-04-18,Spodoptera sp. frugiperda 2 BOLD-2018,USA,31.4271,-110.401,09-Oct-2009
KJ381264.1,KJ381264.1,"Spodoptera aff. frugiperda 2 RZ-2014 voucher BIOUG01133-B03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2014-04-29,2018-06-12,Spodoptera aff. frugiperda 2 RZ-2014,"Canada: Ontario, Wellington County, Puslinch Township, Concession 11/Hume Rd",43.537,-80.134,21-Jul-2010
KJ393860.1,KJ393860.1,"Spodoptera aff. frugiperda 2 RZ-2014 voucher BIOUG01133-G02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2014-04-29,2018-06-12,Spodoptera aff. frugiperda 2 RZ-2014,"Canada: Ontario, Wellington County, Puslinch Township, Concession 11/Hume Rd",43.537,-80.134,21-Jul-2010
MG360372.1,MG360372.1,"Spodoptera sp. BIOUG25517-B02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2018-10-22,2018-10-22,Spodoptera sp. BIOUG25517-B02,"Canada: Ontario, Toronto, Eastdale CI, EQP-CLL-605",43.666,-79.349,02-Oct-2015
KJ389856.1,KJ389856.1,"Spodoptera aff. frugiperda 2 RZ-2014 voucher DH010653 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2014-04-29,2018-06-12,Spodoptera aff. frugiperda 2 RZ-2014,"Canada: Quebec, St-Samuel de Horton, Boise Real Constant",46.089,-72.181,28-Jul-2005
KF854210.1,KF854210.1,"Spodoptera frugiperda isolate GK424 cytochrome c oxidase subunit 1 (CO1) gene, partial cds; mitochondrial",2015-05-03,2015-05-03,fall armyworm,unknown,NA,NA,NA
